timestamp,latitude,longitude,altitude_km,velocity_km_h
2025-11-01 21:37:38,-26.943280599732,-44.764073654137,422.94419179322,27572.225595045
2025-11-01 21:38:40,-24.02198187606,-41.9801737943,421.73768459971,27575.252557269
2025-11-01 21:39:40,-21.138195731591,-39.414754118349,420.61617063863,27578.120099771
2025-11-01 21:40:42,-18.109426010956,-36.875971780944,419.51996729353,27580.991579107
2025-11-01 21:41:43,-15.089654676379,-34.470358850805,418.51735871703,27583.70007869
2025-11-01 21:42:45,-11.987881510244,-32.100858883952,417.58814329225,27586.310035184
2025-11-01 21:43:45,-8.9619557082422,-29.864139886423,416.78559588568,27588.67775524
2025-11-01 21:44:46,-5.8677485154983,-27.631518626721,416.07597952159,27590.907157466
2025-11-01 21:45:47,-2.7617864154137,-25.425781673211,415.48048659474,27592.941660088
2025-11-01 21:46:48,0.34987009215888,-23.232431050366,415.00408944846,27594.768526383
2025-11-01 21:47:48,3.410278558721,-21.073245340978,414.65450063784,27596.353552264
2025-11-01 21:48:49,6.5155505961931,-18.862108700256,414.42085732314,27597.743230056
2025-11-01 21:49:50,9.6085433786332,-16.62035809102,414.30871273649,27598.906095566
2025-11-01 21:50:51,12.682884104076,-14.332908473175,414.31474417613,27599.842070365
2025-11-01 21:51:51,15.68207673679,-12.023045459542,414.43085104628,27600.544247466
2025-11-01 21:52:52,18.698917524293,-9.597253365082,414.65391285687,27601.041833595
2025-11-01 21:53:53,21.675234789207,-7.0755756083356,414.97416463369,27601.329875463
2025-11-01 21:54:54,24.602214862055,-4.4387215049362,415.38139446951,27601.419417023
2025-11-01 21:55:54,27.423501391956,-1.712523605011,415.85567855844,27601.326669441
2025-11-01 21:56:55,30.222130857443,1.2160595954586,416.40052227336,27601.063409761
2025-11-01 21:57:56,32.937887307396,4.3268596589906,416.99538107501,27600.646278644
2025-11-01 21:58:57,35.556280775375,7.645389074701,417.62653365228,27600.092998981
2025-11-01 21:59:58,38.060757770149,11.198081216128,418.28004099634,27599.422054104
2025-11-01 22:01:00,40.470115688832,15.076164991961,418.95286561036,27598.63896142
2025-11-01 22:02:01,42.68499865058,19.17969444164,419.60956468825,27597.788071189
2025-11-01 22:03:02,44.721578734436,23.589889860643,420.24799851555,27596.875935189
2025-11-01 22:04:03,46.553813385633,28.320579173363,420.8560424574,27595.92020788
2025-11-01 22:05:04,48.154068755644,33.37461857761,421.42263262527,27594.937435121
2025-11-01 22:06:05,49.494224727488,38.739641225317,421.93796963312,27593.942743964
2025-11-01 22:07:06,50.54730084996,44.384275756576,422.39369377863,27592.949572808
2025-11-01 22:08:07,51.289539367652,50.256124424639,422.78303418142,27591.969436748
2025-11-01 22:09:08,51.702671070804,56.282738306179,423.10092268041,27591.011745616
2025-11-01 22:10:08,51.777514180519,62.276484997429,423.34070256614,27590.098614809
2025-11-01 22:11:09,51.51461743678,68.343724920531,423.50891962468,27589.204404024
2025-11-01 22:12:10,50.916979376711,74.292926118366,423.60131950884,27588.347121133
2025-11-01 22:13:11,49.999860883247,80.044167323639,423.62008289225,27587.526963311
2025-11-01 22:14:12,48.784951970362,85.535953296416,423.56915101982,27586.741872023
2025-11-01 22:15:14,47.271657596964,90.8103098273,423.45175160064,27585.975518913
2025-11-01 22:16:15,45.537067611655,95.676689477511,423.27893380705,27585.24638026
2025-11-01 22:17:16,43.586950208167,100.21967458199,423.05787190648,27584.533943768
2025-11-01 22:18:16,41.484580129402,104.38209209582,422.80283679836,27583.840372287
